,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
6177,2,Department of Education,Service Request Follow-Up,Activity Coding.,Department of Education Service Request Follow-Up Activity Coding.,department of education service request follow-up activity coding.,department education service request followup activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6178,2,Department of Environmental Protection,Refrigeration Equipment Permit - Queens,Permit required for the legal installation of refrigerator equipment.,Department of Environmental Protection Refrigeration Equipment Permit - Queens Permit required for the legal installation of refrigerator equipment.,department of environmental protection refrigeration equipment permit - queens permit required for the legal installation of refrigerator equipment.,department environmental protection refrigeration equipment permit queens permit required legal installation refrigerator equipment,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.128}"
6179,2,Department of Consumer Affairs,Goods Damaged or Defective - Dry Cleaner,Complaint about damaged or defective goods from a dry cleaner.,Department of Consumer Affairs Goods Damaged or Defective - Dry Cleaner Complaint about damaged or defective goods from a dry cleaner.,department of consumer affairs goods damaged or defective - dry cleaner complaint about damaged or defective goods from a dry cleaner.,department constructionumer affairs goods damaged defective dry cleaner complaint damaged defective goods dry cleaner,"{'neg': 0.57, 'neu': 0.289, 'pos': 0.14, 'compound': -0.886}"
6180,2,Department of Health and Mental Hygiene,Sexual and Reproductive Justice Video Discussion Guide,Guide with information about sexual and reproductive justice.,Department of Health and Mental Hygiene Sexual and Reproductive Justice Video Discussion Guide Guide with information about sexual and reproductive justice.,department of health and mental hygiene sexual and reproductive justice video discussion guide guide with information about sexual and reproductive justice.,department health mental hygiene sexual reproductive justice video discussion guide guide information sexual reproductive justice,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.7783}"
6181,2,Department of Consumer Affairs,Goods Damaged or Defective - Home Improvement Contractor,Complaint about damaged or defective goods from a home improvement contractor.,Department of Consumer Affairs Goods Damaged or Defective - Home Improvement Contractor Complaint about damaged or defective goods from a home improvement contractor.,department of consumer affairs goods damaged or defective - home improvement contractor complaint about damaged or defective goods from a home improvement contractor.,department constructionumer affairs goods damaged defective home improvement contractor complaint damaged defective goods home improvement contractor,"{'neg': 0.479, 'neu': 0.312, 'pos': 0.208, 'compound': -0.7783}"
6182,2,,Volunteer to Shovel Snow,Help shovel snow for seniors or people with mobility issues., Volunteer to Shovel Snow Help shovel snow for seniors or people with mobility issues., volunteer to shovel snow help shovel snow for seniors or people with mobility issues.,volunteer shovel snow help shovel snow seniors people mobility issues,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}"
6183,2,Department of Citywide Administrative Services,Urban Fellows Program,Nine-month internship and seminar program for recent college graduates.,Department of Citywide Administrative Services Urban Fellows Program Nine-month internship and seminar program for recent college graduates.,department of citywide administrative services urban fellows program nine-month internship and seminar program for recent college graduates.,department citywide administrative services urban fellows program ninemonth internship seminar program recent college graduates,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6184,2,Department of Sanitation,Report Graffiti - Public Library,Report graffiti on a public library.,Department of Sanitation Report Graffiti - Public Library Report graffiti on a public library.,department of sanitation report graffiti - public library report graffiti on a public library.,department sanitation waste report graffiti public library report graffiti public library,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}"
6185,2,Small Business Services,Business Pitch,"Helps small business owners and entrepreneurs make a strong and compelling case for a lender, investor, or client to believe in their business.","Small Business Services Business Pitch Helps small business owners and entrepreneurs make a strong and compelling case for a lender, investor, or client to believe in their business.","small business services business pitch helps small business owners and entrepreneurs make a strong and compelling case for a lender, investor, or client to believe in their business.","small business services business pitch helps small business owners entrepreneurs make strong compelling case lender, investor, client believe business","{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.7783}"
6186,2,,Naturally Occurring Retirement Community (NORC) Complaint,Make a complaint about social services provided in a Naturally Occurring Retirement Community (NORC)., Naturally Occurring Retirement Community (NORC) Complaint Make a complaint about social services provided in a Naturally Occurring Retirement Community (NORC)., naturally occurring retirement community (norc) complaint make a complaint about social services provided in a naturally occurring retirement community (norc).,naturally occurring retirement community norc complaint make complaint social services provided naturally occurring retirement community norc,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.5267}"
6187,2,,Syringe Service Programs Guide,Get a palm card that explains what Syringe Service Programs (SSPs) are and lists the SSPs operating in New York City., Syringe Service Programs Guide Get a palm card that explains what Syringe Service Programs (SSPs) are and lists the SSPs operating in New York City., syringe service programs guide get a palm card that explains what syringe service programs (ssps) are and lists the ssps operating in new york city.,syringe service programs guide get palm card explains syringe service programs ssps lists ssps operating new york city,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6188,2,New York City Housing Authority,Prevailing Wage Hotline - NYCHA,Information about how to file prevailing wage complaints against NYCHA contractors.,New York City Housing Authority Prevailing Wage Hotline - NYCHA Information about how to file prevailing wage complaints against NYCHA contractors.,new york city housing authority prevailing wage hotline - nycha information about how to file prevailing wage complaints against nycha contractors.,new york city housing authority prevailing wage hotline nycha information file prevailing wage complaints nycha contractors,"{'neg': 0.15, 'neu': 0.778, 'pos': 0.072, 'compound': -0.34}"
